date,1. open,2. high,3. low,4. close,5. volume
2021-10-08 20:00:00,294.53,294.53,294.53,294.53,520.0
2021-10-08 19:55:00,294.34,294.34,294.34,294.34,563.0
2021-10-08 19:54:00,294.54,294.54,294.54,294.54,635.0
2021-10-08 19:45:00,294.54,294.54,294.54,294.54,1000.0
2021-10-08 19:19:00,294.64,294.64,294.64,294.64,800.0
2021-10-08 18:36:00,294.66,294.66,294.66,294.66,100.0
2021-10-08 18:19:00,294.66,294.66,294.66,294.66,253.0
2021-10-08 18:06:00,294.68,294.68,294.68,294.68,585.0
2021-10-08 18:04:00,294.6601,294.6601,294.6601,294.6601,848.0
2021-10-08 17:56:00,294.75,294.75,294.75,294.75,122.0
2021-10-08 17:53:00,294.66,294.66,294.66,294.66,200.0
2021-10-08 17:28:00,294.85,294.85,294.85,294.85,275.0
2021-10-08 17:27:00,294.8,294.8,294.8,294.8,279.0
2021-10-08 16:52:00,294.85,294.85,294.85,294.85,343.0
2021-10-08 16:51:00,294.85,294.85,294.85,294.85,1506.0
2021-10-08 16:49:00,294.7,294.7,294.7,294.7,705.0
2021-10-08 16:48:00,294.85,294.85,294.85,294.85,341.0
2021-10-08 16:40:00,294.66,294.85,294.66,294.85,351.0
2021-10-08 16:38:00,294.7,294.7,294.7,294.7,750.0
2021-10-08 16:31:00,294.75,294.75,294.75,294.75,107.0
2021-10-08 16:28:00,294.85,294.85,294.75,294.75,1203.0
2021-10-08 16:25:00,294.75,294.75,294.75,294.75,1392.0
2021-10-08 16:24:00,294.7,294.75,294.66,294.75,6291.0
2021-10-08 16:21:00,295.5156,295.5156,294.67,294.67,5428.0
2021-10-08 16:20:00,294.66,294.7,294.66,294.68,3724.0
2021-10-08 16:18:00,294.66,294.66,294.66,294.66,1056.0
2021-10-08 16:17:00,294.6597,294.6597,294.6597,294.6597,134.0
2021-10-08 16:16:00,294.6949,294.85,294.6949,294.7,9155.0
2021-10-08 16:15:00,294.56,294.56,294.56,294.56,117.0
2021-10-08 16:14:00,294.58,294.58,294.58,294.58,1901.0
2021-10-08 16:11:00,294.54,294.54,294.54,294.54,743.0
2021-10-08 16:10:00,294.55,294.55,294.55,294.55,617.0
2021-10-08 16:08:00,294.55,294.85,294.55,294.55,934.0
2021-10-08 16:07:00,294.85,294.85,294.55,294.55,5028.0
2021-10-08 16:04:00,294.5695,294.5695,294.5695,294.5695,181.0
2021-10-08 16:03:00,294.85,294.85,294.85,294.85,708050.0
2021-10-08 16:02:00,294.81,294.85,294.78,294.85,105721.0
2021-10-08 16:01:00,294.85,294.85,294.8199,294.85,107507.0
2021-10-08 16:00:00,294.98,295.0,294.7,294.85,357906.0
2021-10-08 15:59:00,295.028,295.11,294.73,294.98,116147.0
2021-10-08 15:58:00,295.02,295.1,294.91,295.0399,104780.0
2021-10-08 15:57:00,294.95,295.1,294.89,295.0001,102791.0
2021-10-08 15:56:00,294.75,294.98,294.73,294.9425,123073.0
2021-10-08 15:55:00,294.72,294.84,294.53,294.74,128708.0
2021-10-08 15:54:00,294.64,294.74,294.625,294.71,43019.0
2021-10-08 15:53:00,294.56,294.76,294.55,294.67,52976.0
2021-10-08 15:52:00,294.42,294.73,294.42,294.56,93415.0
2021-10-08 15:51:00,294.44,294.48,294.09,294.44,116530.0
2021-10-08 15:50:00,294.65,294.65,294.44,294.45,44977.0
2021-10-08 15:49:00,294.69,294.77,294.5818,294.6599,36994.0
2021-10-08 15:48:00,294.65,294.73,294.64,294.6801,20754.0
2021-10-08 15:47:00,294.53,294.74,294.53,294.66,28596.0
2021-10-08 15:46:00,294.62,294.68,294.52,294.52,29185.0
2021-10-08 15:45:00,294.495,294.64,294.48,294.64,23152.0
2021-10-08 15:44:00,294.57,294.61,294.47,294.4933,33695.0
2021-10-08 15:43:00,294.77,294.77,294.49,294.53,35352.0
2021-10-08 15:42:00,294.67,294.83,294.65,294.7718,27210.0
2021-10-08 15:41:00,294.75,294.81,294.65,294.68,30985.0
2021-10-08 15:40:00,294.7364,294.81,294.67,294.77,27706.0
2021-10-08 15:39:00,294.68,294.8,294.65,294.735,25083.0
2021-10-08 15:38:00,294.61,294.68,294.535,294.68,31040.0
2021-10-08 15:37:00,294.845,294.87,294.49,294.61,67536.0
2021-10-08 15:36:00,295.02,295.04,294.83,294.83,27693.0
2021-10-08 15:35:00,295.03,295.09,295.01,295.01,15537.0
2021-10-08 15:34:00,295.03,295.08,295.005,295.02,19318.0
2021-10-08 15:33:00,295.12,295.1473,295.02,295.06,25538.0
2021-10-08 15:32:00,295.095,295.2311,295.095,295.13,14964.0
2021-10-08 15:31:00,295.165,295.22,295.1,295.1,27076.0
2021-10-08 15:30:00,295.24,295.24,295.145,295.18,14533.0
2021-10-08 15:29:00,295.22,295.26,295.1433,295.25,20445.0
2021-10-08 15:28:00,295.199,295.28,295.199,295.23,22477.0
